"","coef","standard_error","T_value","P_value"
"modelKia Forte ",-0.470122322114759,0.020678072854252,-22.7353064005715,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102257433898094
"modelKia Forte Coupe ",-0.455650055839217,0.0338221376364253,-13.4719473008263,0.0000000000000000000000000000000000000000504223997800323
"modelKia Optima ",-0.289067733818324,0.0201305907166954,-14.359625004873,0.000000000000000000000000000000000000000000000256456207835812
"modelKia Rio ",-0.413248505794409,0.0320638602824647,-12.8882954876275,0.000000000000000000000000000000000000101703640192739
"modelKia Sorento ",-0.151758928369814,0.0172154698133243,-8.81526499220819,0.00000000000000000138442649468504
"modelKia Sportage ",-0.021795376908237,0.0238315966041454,-0.914557982424299,0.36044490177057
"modelLand Rover Freelander ",-0.241129840588888,0.0553850554206971,-4.35369864230161,0.0000135138480964045
"modelLand Rover Range Rover ",0.465195904136579,0.0344964625086993,13.4853219810369,0.0000000000000000000000000000000000000000421944921876674
"modelLand Rover Range Rover Sport ",0.62155488417328,0.0293360158542765,21.1874334695204,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000140519762381413
"modelLexus ES 350 ",0.409129621416907,0.0394428722430504,10.3727137033991,0.000000000000000000000000437156676850006
"modelLexus GS 300 ",-0.0263311139378022,0.077148289629595,-0.341305219651963,0.73288070540033
"modelLexus GS 350 ",0.432425953678558,0.0413722336947581,10.4520813855247,0.000000000000000000000000191519618178623
"modelLexus GX 460 ",0.952300608179061,0.0270134709215254,35.2528044598752,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000277952093151384
"modelLexus GX 460 Premium ",1.01182253826603,0.0777888413818611,13.0072966802404,0.0000000000000000000000000000000000000221255918634092
"modelLexus GX 470 ",0.630187961400283,0.0159316367813655,39.5557575187369,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000631346726194695
"modelLexus IS 250 ",0.126585845948878,0.0252909850434646,5.00517657700282,0.000000567238620427748
"modelLexus LS 460 ",0.441406259435539,0.0892389271291466,4.94634206882312,0.000000768026198244264
"modelLexus LX 470 ",1.06308004912577,0.0478084766040087,22.236225134951,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000464393703234882
"modelLexus LX 570 ",1.19942962064496,0.0399070233726383,30.0556022293392,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000213934170770727
"modelLexus RX 300 ",0.0850156273566864,0.0377892947258344,2.24972781242636,0.0244870262391747
"modelLexus RX 330 ",0.336444692721388,0.0319279227664802,10.5376317520602,0.0000000000000000000000000781495470919586
"modelLexus RX 350 ",0.413499220490699,0.0232421146942793,17.7909465610062,0.000000000000000000000000000000000000000000000000000000000000000000000890839565652491
"modelMazda 3",-0.364370592367913,0.0308026266203024,-11.8292052447161,0.0000000000000000000000000000000442321447282487
"modelMazda 6",-0.149612818156061,0.0232567433562825,-6.43309408647903,0.000000000130522408949276
"modelMazda CX5 ",0.221838469010405,0.0433854078258734,5.11320464937774,0.000000322368948536979
"modelMazda CX7 ",-0.179705350863332,0.0695295080497661,-2.58459114559975,0.00976293099251472
"modelMazda CX9 ",0.0278782919903505,0.0637939885944647,0.437005000072522,0.662116783731087
"modelMazda Demio ",-0.677179871504855,0.0706025385009772,-9.59143801175764,0.00000000000000000000106776669568627
"modelMazda MPV ",-0.304594458392199,0.0559858776087722,-5.44055878735521,0.0000000543166330724211
"modelMercedes-Benz 240",-0.192690333000414,0.0889956342265047,-2.16516613062157,0.0303976019260009
"modelMercedes-Benz 320",0.0504011555221414,0.0306100435110657,1.64655615415643,0.0996794853370709
"modelMercedes-Benz 350",0.0352629469774434,0.0691739114841305,0.509772343660706,0.610221767008135
"modelMercedes-Benz A 160 ",-0.624695817360438,0.0530985723862488,-11.7648326364838,0.0000000000000000000000000000000940804256694394
"modelMercedes-Benz A 170 ",-0.584697318462473,0.0367501480939914,-15.9100670007387,0.0000000000000000000000000000000000000000000000000000000248142836065433
"modelMercedes-Benz A 180 ",-0.636623584677126,0.0788453574198093,-8.0743319012107,0.000000000000000753374006950206
"modelMercedes-Benz A 200 ",-0.572769439501218,0.0702921634853155,-8.14841101911557,0.000000000000000411016990862832
"modelMercedes-Benz B 170 ",-0.339447857894437,0.0237798024694417,-14.274628997892,0.000000000000000000000000000000000000000000000850759640141542
"modelMercedes-Benz B 180 ",-0.281545653456152,0.0702541255847568,-4.00753195791308,0.0000617839162949606
"modelMercedes-Benz B 200 ",-0.286796344645745,0.0311328726280857,-9.21201034263118,0.0000000000000000000381666540224334
"modelMercedes-Benz C 180 ",-0.0403928847688598,0.0205563946410949,-1.96497904783893,0.0494432074720113
"modelMercedes-Benz C 200 ",-0.0944385097257748,0.0200019672767675,-4.72146106525562,0.00000237212179289081
"modelMercedes-Benz C 230 ",-0.183811290019907,0.0182991180791902,-10.0448168717452,0.0000000000000000000000124036865021876
"modelMercedes-Benz C 240 ",-0.125005978421164,0.0181374612277617,-6.89214310930275,0.00000000000581388317080095
"modelMercedes-Benz C 250 ",0.176556030483475,0.0453470142135518,3.89344334010665,0.0000994482844658167
"modelMercedes-Benz C 280 ",-0.164766256784305,0.0469986869621946,-3.50576297837517,0.000457216424815604
"modelMercedes-Benz C 300 ",0.0235719008256193,0.024244316231044,0.972265029089017,0.330941300429337
"modelMercedes-Benz C 320 ",-0.14652917200413,0.0491437084842443,-2.98164661405453,0.00287366082963238
"modelMercedes-Benz CLK 200 ",-0.129628991814515,0.0494269805955065,-2.62263626571395,0.00873794310335292
"modelMercedes-Benz CLK 320 ",-0.0660640280204198,0.0351687748779741,-1.87848533961287,0.0603427163178911
"modelMercedes-Benz CLS 350 ",0.285306561408445,0.0229865141792426,12.4119107048464,0.0000000000000000000000000000000000398857773448559
"modelMercedes-Benz CLS 500 ",0.260235050510946,0.0267748338942755,9.71938991436973,0.00000000000000000000030982099444452
"modelMercedes-Benz CLS 55 AMG ",0.189351982733512,0.0777885053481572,2.43418975446348,0.0149418610897351
"modelMercedes-Benz E 200 ",0.333254280811476,0.030793260131292,10.8223123953291,0.00000000000000000000000000376320642741101
"modelMercedes-Benz E 240 ",0.0732368906102931,0.0237257747974972,3.08680712159582,0.00202850236045417
"modelMercedes-Benz E 280 ",-0.018947561537857,0.0550115620840497,-0.344428713165932,0.730530853793048
"modelMercedes-Benz E 350 ",0.0419735945434807,0.0127754336128059,3.28549275238743,0.00102140690310991
"modelMercedes-Benz E 500 ",-0.0154609724510509,0.058824806364622,-0.262830826084101,0.792686174590236
"modelMercedes-Benz G 500 ",1.20542551701997,0.025410767164012,47.4375885324373,0
"modelMercedes-Benz G 55 AMG ",1.14863493691906,0.0360693046010885,31.8452199071341,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000190502193781063
"modelMercedes-Benz GL 450 ",0.523482187141508,0.0778915434990627,6.72065494693666,0.0000000000190371751352824
"modelMercedes-Benz GL 500 ",0.756547970592099,0.0898018125555801,8.42464031696306,0.0000000000000000409536369575942
"modelMercedes-Benz ML 320 ",-0.0540396507067409,0.037748232434836,-1.4315809568045,0.152293795253558
"modelMercedes-Benz ML 350 ",0.263283288826287,0.0215772960715863,12.2018666265134,0.000000000000000000000000000000000518298184223882
"modelMercedes-Benz ML 500 ",0.266421546227347,0.0895678498174702,2.97452207204131,0.00294118398169223
